"id","pop","observer","stem_length","seedheads1","seedheads2","seedheads_avg","fam","rack","region","code","rep","round","bolting","budding","flowering","fruiting","bolting_to_flowering","flowering.doy","longitude","latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Heads_at_bagging","Heads_after_bagging","seedheads_total"
344,"NL-TIL","MM",62,53,NA,53,8,"8","NL","NL-TIL8","A",1,"6/21/19",NA,0019-09-12,"10/8/19",83,255,5.0498172,51.5395786,9.95833301544189,8.31666660308838,35.8477020263672,557.758666992188,23.1000003814697,-0.100000001490116,23.2000007629395,6.93333339691162,5.86666679382324,16.9333343505859,3.33333325386047,792,76,46,14.4286403656006,223,165,204,194,1,NA,54
345,"CE-LGR","CC",93,66,NA,66,8,"8","CE","CE-LGR8","A",1,"5/24/19",NA,0019-09-12,"10/8/19",111,255,-120.4752845,37.828463,16.091667175293,16.8166656494141,47.1055107116699,706.244323730469,36.7999992370605,1.10000002384186,35.7000007629395,9.10000038146973,24.75,25.0833339691162,7.93333339691162,650,115,2,85.2466125488281,329,10,16,316,3,NA,69
346,"FC-BOE","NL/JB/MM",70,89,91,90,8,"8","FC","FC-BOE8","A",1,"5/31/19","8/12/19",0019-08-22,"9/13/19",83,234,2.4467618,47.1011689,11.2124996185303,9.60833358764648,38.1283073425293,594.482666015625,25.7999992370605,0.600000023841858,25.1999988555908,16.9333324432373,7.21666669845581,18.75,4.21666669845581,713,72,52,9.26838302612305,190,165,170,177,NA,NA,90
347,"CC-LEX","VG",91,49,48,49,8,"8","CC","CC-LEX8","A",1,"5/24/19",NA,0019-09-09,"10/4/19",108,252,-121.9857941,37.199715,14.6041669845581,13.2416667938232,55.4044647216797,404.263977050781,27.3999996185303,3.5,23.8999996185303,10.5833330154419,19.25,19.5833339691162,9.69999980926514,661,143,2,94.6365737915039,365,8,13,358,3,8,60
348,"NL-WHV","CC",71,68,NA,68,8,"8","NL","NL-WHV8","A",1,"5/31/19",NA,0019-09-10,"10/8/19",102,253,4.4573839,51.8941379,10.1875,7.25833320617676,33.7596893310547,532.588562011719,22.2999992370605,0.800000011920929,21.5,10.9333333969116,6.03333330154419,16.8166656494141,3.93333339691162,891,98,51,20.4159889221191,279,180,220,212,NA,NA,68
349,"CE-JAR","DR",94,86,NA,86,8,"8","CE","CE-JAR8","A",1,"5/24/19",NA,0019-09-09,"10/4/19",108,252,-120.733546,38.3638507,15.1291666030884,15.8083333969116,47.472469329834,651.444030761719,34.4000015258789,1.10000002384186,33.3000030517578,8.80000019073486,23.1166667938232,23.3666667938232,7.61666679382324,853,161,4,84.9769973754883,437,15,25,422,1,4,91
350,"CC-PPR","RS",102,103,NA,103,8,"8","CC","CC-PPR8","A",1,"5/10/19",NA,0019-09-10,"10/4/19",123,253,-122.1633333,37.3875,14.6333332061768,12.3666667938232,55.2083358764648,386.51318359375,26.2999992370605,3.90000009536743,22.3999996185303,10.8166666030884,19.033332824707,19.3166656494141,9.89999961853027,513,104,2,90.5680313110352,272,7,10,268,3,2,108
351,"FC-EVR","NL/JB/MM",57,79,77,78,8,"8","FC","FC-EVR8","A",1,"6/7/19","8/12/19",0019-08-22,"9/13/19",76,234,2.4435742,48.5929615,11.0124998092651,8.375,35.1890754699707,572.312377929688,24.7000007629395,0.899999976158142,23.8000011444092,16.4333324432373,7.03333330154419,18.2333335876465,4.25,627,60,45,8.47910976409912,169,143,154,153,NA,NA,78
352,"CE-SRK","CC",82,68,NA,68,8,"8","CE","CE-SRK8","A",1,"5/24/19",NA,0019-09-13,"10/8/19",112,256,-120.7640859,38.6912893,14.3166666030884,14.6666660308838,46.1215934753418,643.581359863281,32.7000007629395,0.899999976158142,31.8000011444092,7.56666660308838,22.2000007629395,22.5833339691162,7,1005,182,5,82.8668518066406,492,21,33,489,3,NA,71
353,"NL-HAR","UO",69,57,59,58,8,"8","NL","NL-HAR8","A",1,"6/21/19",NA,0019-09-27,"11/12/19",98,270,5.8897423,52.4110137,9.63333320617676,7.98333311080933,35.7997016906738,557.438659667969,22.2999992370605,0,22.2999992370605,10.1166667938232,5.75,16.5499992370605,2.90000009536743,790,78,44,16.0751628875732,225,157,209,187,NA,NA,58
354,"CE-COL","CC",90,81,NA,81,8,"8","CE","CE-COL8","A",1,"5/24/19",NA,0019-09-13,"10/8/19",112,256,-120.4100739,38.0285431,14.4125003814697,15.8083333969116,46.7702178955078,668.210388183594,34.2999992370605,0.5,33.7999992370605,7.76666688919067,22.6333332061768,23.0833339691162,6.84999990463257,886,159,2,85.1997680664062,440,14,23,432,1,NA,82
356,"CE-LLL","CC",70,64,NA,64,8,"8","CE","CE-LLL8","A",1,"5/24/19",NA,0019-09-12,"10/11/19",111,255,-120.4543454,37.9171587,15.4750003814697,16.466667175293,47.3180084228516,681.957397460938,35.7000007629395,0.899999976158142,34.7999992370605,8.64999961853027,23.8500003814697,24.1833343505859,7.59999990463257,709,128,2,85.4880065917969,360,11,19,347,3,NA,67
357,"CC-ALM","CC",80,53,NA,53,8,"8","CC","CC-ALM8","A",1,"5/24/19",NA,0019-09-11,"10/8/19",110,254,-121.8817784,37.2147062,15.5416660308838,13.8666667938232,55.6894264221191,424.589813232422,28.7999992370605,3.90000009536743,24.8999996185303,11.3000001907349,20.4499988555908,20.716667175293,10.3833332061768,550,119,2,93.755126953125,300,6,10,296,3,NA,56
358,"FC-COU","DR",61,57,NA,57,8,"8","FC","FC-COU8","A",1,"5/31/19",NA,0019-09-09,"10/4/19",101,252,3.1593172,45.7492959,11.0166664123535,10.2166662216187,39.2948722839355,587.751220703125,25.5,-0.5,26,16.5,5.09999990463257,18.4166660308838,4.11666679382324,598,84,28,37.323673248291,209,86,193,92,NA,NA,57
360,"NL-SCH","JB",48,32,32,32,8,"8","NL","NL-SCH8","A",1,"5/24/19","10/11/19",0019-10-23,"11/20/19",152,296,5.8811594,52.0241862,9.55416679382324,7.84166669845581,34.3932762145996,562.399291992188,22.3999996185303,-0.400000005960464,22.7999992370605,3.95000004768372,5.40000009536743,16.5499992370605,2.86666655540466,861,89,51,15.7285833358765,252,180,214,223,NA,NA,32
362,"CC-FOO","VG",71,38,38,38,8,"8","CC","CC-FOO8","A",1,"5/24/19",NA,0019-09-10,"10/4/19",109,253,-122.0675,37.33555556,15.154167175293,12.7083339691162,55.4949035644531,394.043487548828,27.1000003814697,4.19999980926514,22.9000015258789,11.2666664123535,19.6666679382324,19.8999996185303,10.3500003814697,497,102,2,91.0279388427734,266,6,10,259,4,NA,42
364,"CE-OAK","CC",89,56,NA,56,8,"8","CE","CE-OAK8","A",1,"5/24/19",NA,0019-09-12,"10/8/19",111,255,-120.7915764,38.6341236,14.5,14.716667175293,46.1337509155273,645.368103027344,33,1.10000002384186,31.8999996185303,7.76666688919067,22.3999996185303,22.8166656494141,7.18333339691162,989,180,5,83.504768371582,486,19,32,483,1,NA,57
