id,pop,rep,measure_traits
431,CE-OAK,A,yes
432,CE-TUL,A,yes
433,CE-LGR,A,yes
434,CE-OAK,A,yes
435,FS-LAT,A,NA
436,NL-CUI,A,no
437,NL-HAR,A,yes
438,CE-JAR,A,yes
439,CC-FBK,A,yes
440,FC-BOE,A,yes
441,CE-SRK,A,yes
442,NL-TIL,A,yes
443,CE-COL,A,yes
444,CC-ALV,A,yes
445,CC-CUP,A,yes
446,FC-MMA,A,yes
447,CE-JVR,A,NA
448,NL-LAR,A,yes
449,FC-COD,A,no
450,CC-CVR,A,yes
451,FC-LEM,A,no
452,CC-ALM,A,yes
453,CC-LEX,A,yes
454,FS-FRE,A,yes
455,FS-VID,A,yes
456,CE-JES,A,yes
457,FC-EVR,A,yes
458,CC-PPR,A,yes
459,CC-FOO,A,yes
460,CE-CAR,A,yes
461,NL-DOR,A,yes
462,FC-COU,A,no
463,CC-OKA,A,yes
464,CC-BAI,A,yes
465,NL-SCH,A,yes
466,CE-TUL,A,no
467,CC-GUA,A,yes
468,NL-WHV,A,no
469,CE-DUT,A,yes
470,FS-MER,A,NA
471,CE-SCT,A,yes
472,FC-ISB,A,no
473,CE-SON,A,yes
474,CE-JAM,A,yes
475,CC-SHL,A,yes
476,CC-SCR,A,yes
477,CE-LLL,A,yes
478,CC-BYD,A,yes
479,FC-MLB,A,yes
480,FS-ARI,A,NA
481,CE-LGR,B,no
482,FS-LAT,B,NA
483,NL-SCH,B,no
484,CE-SRK,B,no
485,CE-JES,B,no
486,CE-JAM,B,no
487,CE-LLL,B,no
488,FS-MER,B,no
489,FC-COD,B,no
490,CE-OAK,B,no
491,NL-WHV,B,yes
492,CC-LEX,B,no
493,FC-LEM,B,no
494,NL-CUI,B,no
495,CC-CVR,B,no
496,CE-TUL,B,no
497,NL-HAR,B,no
498,CE-SCT,B,no
499,CC-BYD,B,no
500,NL-DOR,B,NA
501,CE-DUT,B,no
502,CC-SCR,B,no
503,CE-CAR,B,no
504,CE-JVR,B,no
505,FC-BOE,B,yes (DNA)
506,FC-ISB,B,no
507,FS-ARI,B,NA
508,CC-GUA,B,no
509,CC-PPR,B,NA
510,FC-COU,B,no
511,CC-ALM,B,no
512,CE-JAR,B,no
513,CC-SHL,B,no
514,FS-FRE,B,yes (DNA)
515,FC-MMA,B,NA
516,CC-BAI,B,no
517,CC-OKA,B,no
518,FC-MLB,B,no
519,CC-FOO,B,no
520,CE-SON,B,yes
521,CC-ALV,B,no
522,NL-TIL,B,no
523,CE-COL,B,yes
524,CC-FBK,B,no
525,FC-EVR,B,NA
526,CC-CUP,B,no
527,NL-LAR,B,no
528,FS-VID,B,no
529,CE-SCT,B,no
530,CE-JAR,B,no
531,CC-OKA,B,no
532,CC-LEX,B,no
533,CE-SRK,B,no
534,CE-JVR,B,NA
535,CC-FOO,B,no
536,CE-JAM,B,no
537,CE-DUT,B,no
538,FC-MMA,B,no
539,CC-SCR,B,no
540,CE-CAR,B,no
541,FS-VID,B,NA
542,NL-SCH,B,no
543,NL-HAR,B,no
544,NL-LAR,B,no
545,CC-ALV,B,no
546,FS-MER,B,NA
547,CC-FBK,B,no
548,NL-DOR,B,no
549,FC-BOE,B,no
550,CC-GUA,B,no
551,FC-LEM,B,no
552,CC-PPR,B,no
553,FC-ISB,B,NA
554,FC-EVR,B,no
555,CE-TUL,B,no
556,CE-OAK,B,no
557,CE-LGR,B,no
558,CE-COL,B,no
559,CE-LLL,B,no
560,CE-SON,B,no
561,CC-CUP,B,no
562,CE-JES,B,yes (DNA)
563,FS-FRE,B,no
564,FC-MLB,B,no
565,NL-TIL,B,no
566,CC-ALM,B,no
567,NL-WHV,B,yes
568,FS-LAT,B,NA
569,CC-BYD,B,no
570,NL-CUI,B,no
571,FS-ARI,B,NA
572,FC-COD,B,no
573,CC-SHL,B,no
574,CC-CVR,B,no
575,CC-BAI,B,no
576,FC-COU,B,yes
577,CE-DUT,B,no
578,FC-MLB,B,no
579,CE-SON,B,no
580,CC-OKA,B,no
581,FS-ARI,B,NA
