Num,PopName,PopType,TypeAlpha,Pop,Rep,DishNum,PopNum,DishType,ID,SurvivalID,NoGerm,TotGerm,PropGerm,Label,PlantDate,GermDate,CensorJMP,CensorR,DaysGermYes,Census,DaysCensus,DaysToGerm
73,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed3Date,44398,44400,0,1,2,44411,13,2
74,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed4Date,44398,44401,0,1,3,44411,13,3
75,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed5Date,44398,44401,0,1,3,44411,13,3
76,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed6Date,44398,44401,0,1,3,44411,13,3
77,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed7Date,44398,44401,0,1,3,44411,13,3
78,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed8Date,44398,44403,0,1,5,44411,13,5
79,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed9Date,44398,44404,0,1,6,44411,13,6
80,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
81,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed1Date,44398,44400,0,1,2,44411,13,2
82,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed2Date,44398,44400,0,1,2,44411,13,2
83,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed3Date,44398,44401,0,1,3,44411,13,3
84,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed4Date,44398,44401,0,1,3,44411,13,3
